1, 0, 1
4, 1, 5
5, 1, 11
7, 1, 71
2, 2, 2
1, 3, 2
3, 3, 3
2, 7, 3
1, 8, 3
6, 9, 27
3, 10, 4
4, 12, 6
2, 14, 4
1, 15, 4
3, 19, 5
2, 23, 5
1, 24, 5
5, 24, 12
4, 25, 7
3, 30, 6
2, 34, 6
1, 35, 6
4, 40, 8
3, 43, 7
2, 47, 7
1, 48, 7
5, 49, 13
4, 57, 9
3, 58, 8
2, 62, 8
1, 63, 8
6, 64, 28
3, 75, 9
4, 76, 10
5, 76, 14
2, 79, 9
1, 80, 9
8, 81, 201
3, 94, 10
4, 97, 11
2, 98, 10
1, 99, 10
5, 105, 15
3, 115, 11
2, 119, 11
1, 120, 11
4, 120, 12
6, 121, 29
5, 136, 16
3, 138, 12
2, 142, 12
1, 143, 12
7, 144, 72
4, 145, 13
3, 163, 13
2, 167, 13
1, 168, 13
5, 169, 17
4, 172, 14
6, 180, 30
3, 190, 14
2, 194, 14
1, 195, 14
4, 201, 15
5, 204, 18
3, 219, 15
2, 223, 15
1, 224, 15
10, 225, 1905
4, 232, 16
5, 241, 19
6, 241, 31
3, 250, 16
2, 254, 16
1, 255, 16
4, 265, 17
5, 280, 20
3, 283, 17
2, 287, 17
1, 288, 17
7, 289, 73
4, 300, 18
6, 304, 32
3, 318, 18
5, 321, 21
2, 322, 18
1, 323, 18
11, 324, 6318
4, 337, 19
3, 355, 19
2, 359, 19
1, 360, 19
5, 364, 22
6, 369, 33
4, 376, 20
3, 394, 20
2, 398, 20
1, 399, 20
5, 409, 23
4, 417, 21
3, 435, 21
6, 436, 34
7, 436, 74
2, 439, 21
1, 440, 21
5, 456, 24
4, 460, 22
3, 478, 22
2, 482, 22
1, 483, 22
8, 484, 202
4, 505, 23
5, 505, 25
6, 505, 35
3, 523, 23
2, 527, 23
1, 528, 23
4, 552, 24
5, 556, 26
3, 570, 24
2, 574, 24
1, 575, 24
6, 576, 36
7, 585, 75
4, 601, 25
5, 609, 27
3, 619, 25
2, 623, 25
1, 624, 25
6, 649, 37
4, 652, 26
5, 664, 28
3, 670, 26
2, 674, 26
1, 675, 26
4, 705, 27
5, 721, 29
3, 723, 27
6, 724, 38
2, 727, 27
1, 728, 27
9, 729, 603
7, 736, 76
4, 760, 28
3, 778, 28
5, 780, 30
2, 782, 28
1, 783, 28
6, 801, 39
4, 817, 29
3, 835, 29
2, 839, 29
1, 840, 29
5, 841, 31
4, 876, 30
6, 880, 40
7, 889, 77
8, 889, 203
3, 894, 30
2, 898, 30
1, 899, 30
5, 904, 32
4, 937, 31
3, 955, 31
2, 959, 31
1, 960, 31
6, 961, 41
5, 969, 33
4, 1000, 32
3, 1018, 32
2, 1022, 32
1, 1023, 32
5, 1036, 34
6, 1044, 42
7, 1044, 78
4, 1065, 33
3, 1083, 33
2, 1087, 33
1, 1088, 33
5, 1105, 35
6, 1129, 43
4, 1132, 34
3, 1150, 34
2, 1154, 34
1, 1155, 34
5, 1176, 36
4, 1201, 35
7, 1201, 79
6, 1216, 44
3, 1219, 35
2, 1223, 35
1, 1224, 35
5, 1249, 37
4, 1272, 36
3, 1290, 36
2, 1294, 36
1, 1295, 36
8, 1296, 204
6, 1305, 45
5, 1324, 38
4, 1345, 37
7, 1360, 80
3, 1363, 37
2, 1367, 37
1, 1368, 37
6, 1396, 46
5, 1401, 39
4, 1420, 38
3, 1438, 38
2, 1442, 38
1, 1443, 38
5, 1480, 40
6, 1489, 47
4, 1497, 39
3, 1515, 39
2, 1519, 39
1, 1520, 39
7, 1521, 81
5, 1561, 41
4, 1576, 40
6, 1584, 48
3, 1594, 40
2, 1598, 40
1, 1599, 40
5, 1644, 42
4, 1657, 41
3, 1675, 41
2, 1679, 41
1, 1680, 41
6, 1681, 49
7, 1684, 82
8, 1705, 205
5, 1729, 43
4, 1740, 42
3, 1758, 42
2, 1762, 42
1, 1763, 42
6, 1780, 50
5, 1816, 44
4, 1825, 43
3, 1843, 43
2, 1847, 43
1, 1848, 43
7, 1849, 83
6, 1881, 51
5, 1905, 45
4, 1912, 44
3, 1930, 44
2, 1934, 44
1, 1935, 44
9, 1936, 604
6, 1984, 52
5, 1996, 46
4, 2001, 45
7, 2016, 84
3, 2019, 45
2, 2023, 45
1, 2024, 45
5, 2089, 47
6, 2089, 53
4, 2092, 46
3, 2110, 46
2, 2114, 46
1, 2115, 46
8, 2116, 206
5, 2184, 48
4, 2185, 47
7, 2185, 85
6, 2196, 54
3, 2203, 47
2, 2207, 47
1, 2208, 47
4, 2280, 48
5, 2281, 49
3, 2298, 48
2, 2302, 48
1, 2303, 48
6, 2305, 55
7, 2356, 86
4, 2377, 49
5, 2380, 50
3, 2395, 49
2, 2399, 49
1, 2400, 49
6, 2416, 56
4, 2476, 50
5, 2481, 51
3, 2494, 50
2, 2498, 50
1, 2499, 50
6, 2529, 57
7, 2529, 87
8, 2529, 207
4, 2577, 51
5, 2584, 52
3, 2595, 51
2, 2599, 51
1, 2600, 51
6, 2644, 58
4, 2680, 52
5, 2689, 53
3, 2698, 52
2, 2702, 52
1, 2703, 52
7, 2704, 88
6, 2761, 59
4, 2785, 53
5, 2796, 54
3, 2803, 53
2, 2807, 53
1, 2808, 53
6, 2880, 60
7, 2881, 89
4, 2892, 54
5, 2905, 55
3, 2910, 54
2, 2914, 54
1, 2915, 54
8, 2944, 208
4, 3001, 55
6, 3001, 61
5, 3016, 56
3, 3019, 55
2, 3023, 55
